{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.26', 'reading_time': '2023-07-19T17:45:55.194741-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'detected', 'reading_val_type': 'number', 'reading_val': 'Motion', 'reading_time': '2023-07-19T17:47:29.805583-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '32', 'reading_time': '2023-07-19T17:47:31.876454-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:33.949304-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.28', 'reading_time': '2023-07-19T17:47:36.003043-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:47:38.075314-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '30', 'reading_time': '2023-07-19T17:47:40.145318-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:42.216654-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '31.38', 'reading_time': '2023-07-19T17:47:44.316909-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:47:46.406614-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '31', 'reading_time': '2023-07-19T17:47:48.504326-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:50.551108-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.96', 'reading_time': '2023-07-19T17:47:52.619596-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:47:54.739453-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
